Phase,ConfigID,ProblemTag,ProblemName,M,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,Runs,IGD_Median,IGD_Mean,IGD_IQR,HV_Median,HV_Mean,HV_IQR
A,A03,WFG9_M2,WFG9,2,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.017283181713172464,0.01710514499778161,0.002942726794308974,0.3417864083583232,0.3419812271220199,0.002420039383096151
A,A03,ZDT1_M2,ZDT1,2,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003936101576792268,0.003937568894193514,8.264553747420848e-05,0.720337217220139,0.7203198028501661,0.0001658707278734406
A,A03,ZDT6_M2,ZDT6,2,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0030711210230587585,0.003077284556115065,1.8790361843724554e-05,0.38891576465896266,0.3889116133434233,2.1834399224540668e-05
A,A04,DTLZ1_M3,DTLZ1,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.02020697279996471,0.02022072664287008,0.0001774346807984599,0.8419808143761278,0.8416414460634356,0.001111175901427397
A,A04,DTLZ2_M3,DTLZ2,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05402742294287122,0.05412119887817092,0.000477774387590571,0.5563872651309352,0.5563101794922293,0.0012096201355927816
A,A04,DTLZ4_M3,DTLZ4,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05449254460015153,0.2163968066438638,0.4868235376604296,0.5559493193494305,0.4866801914821706,0.20928767125685405
A,A04,DTLZ7_M3,DTLZ7,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.06005426588758582,0.06944080776683649,0.0017254055219765585,0.27687992565184155,0.27595581520158274,0.0011058458743640753
A,A04,MaF1_M3,MaF1,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.04162063417413622,0.0415693649734824,0.0005084858937882825,0.2191129463228481,0.21904331107965494,0.0007252781983264345
A,A04,MaF5_M3,MaF5,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24436053417744313,0.8001979501693205,1.6465247005146562,0.554965180535354,0.48604091152505163,0.2087871857869253
A,A04,WFG2_M3,WFG2,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.17399827273558915,0.17471380969698533,0.006357756866893521,0.92936783366381,0.9293193012321478,0.0012043182581744638
A,A04,WFG4_M2,WFG4,2,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012796848238421848,0.012821369731561817,0.0002203157865186857,0.3470410084186815,0.347052575189942,0.00020957431153861839
A,A04,WFG5_M3,WFG5,3,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22188948682025286,0.22210001324051182,0.0019241953868587847,0.5144996562903068,0.514322728369783,0.001679342695228958
A,A04,WFG9_M2,WFG9,2,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.01654522766997864,0.0174689122002081,0.002436630463858995,0.3424442099575863,0.3417620973562482,0.0021152297339812054
