problem,M,ivf_algo,base_algo,metric,p_value,a12,a12_label,n_pairs,median_ivf,median_base,p_adj
DTLZ2,2,IVFNSGAIII,NSGAIII,Best_IGD,1.862645149230957e-09,0.0,large,30,0.0039658782972563505,0.003966037678771,2.71414007459368e-08
DTLZ2,2,IVFNSGAIII,NSGAIII,AUC_HV,0.15794767439365387,0.35888888888888887,negligible,30,31246.164102791437,31246.53903877142,0.25172910606488585
DTLZ2,2,IVFNSGAIII,NSGAIII,Final_HV,1.6391277313232422e-07,0.91,medium,30,0.3472151609066939,0.34721512214504147,3.343820571899414e-06
DTLZ2,2,IVFNSGAIII,NSGAIII,Best_HV,6.286613643169403e-05,0.78,small,30,0.34721516232820826,0.3472151338316997,0.0004274897277355194
DTLZ2,2,IVFNSGAII,NSGAII,AUC_IGD,0.9838335812091827,0.5155555555555555,negligible,30,458.7677810306003,458.3951640709285,0.9838335812091827
DTLZ2,2,IVFNSGAII,NSGAII,Final_IGD,0.46454504504799843,0.42777777777777776,negligible,30,0.0051180607396139,0.00516822718336565,0.6490903369163814
DTLZ2,2,IVFNSGAII,NSGAII,Best_IGD,0.9838335812091827,0.49666666666666665,negligible,30,0.004841355798105251,0.00484776029816825,0.9838335812091827
DTLZ2,2,IVFNSGAII,NSGAII,AUC_HV,0.001340603455901146,0.7911111111111111,small,30,31194.713611691208,31188.399032976868,0.004715225948341961
DTLZ2,2,IVFNSGAII,NSGAII,Final_HV,0.24494642950594425,0.6022222222222222,negligible,30,0.3465827137061309,0.34650945029598784,0.3965799334858145
DTLZ2,2,IVFNSGAII,NSGAII,Best_HV,0.09610157273709774,0.5955555555555555,negligible,30,0.34684440971062314,0.3468104342035103,0.16069443310137654
DTLZ2,3,IVFNSGAIII,NSGAIII,AUC_IGD,0.0006665531545877457,0.7633333333333333,small,30,4910.475748555627,4909.336694465543,0.003578337987786845
DTLZ2,3,IVFNSGAIII,NSGAIII,Final_IGD,0.034536734223365784,0.35444444444444445,negligible,30,0.0544639709058104,0.0544641503995398,0.12581238895654678
DTLZ2,3,IVFNSGAIII,NSGAIII,Best_IGD,0.0021877754479646683,0.7577777777777778,small,30,0.054463961562422156,0.054463659874688444,0.009702308508365051
DTLZ2,3,IVFNSGAIII,NSGAIII,AUC_HV,6.910413503646851e-07,0.9277777777777778,medium,30,50405.73937593856,50390.36662017039,1.0069459676742552e-05
DTLZ2,3,IVFNSGAIII,NSGAIII,Final_HV,0.01283373311161995,0.6688888888888889,small,30,0.5596174752916512,0.5596163119758173,0.05034772220712442
DTLZ2,3,IVFNSGAIII,NSGAIII,Best_HV,0.12935307621955872,0.4,negligible,30,0.5596174779564929,0.5596184738677479,0.20298482729838446
DTLZ2,3,IVFNSGAII,NSGAII,AUC_IGD,0.9515264742076397,0.46555555555555556,negligible,30,6208.734975829481,6225.591424399947,0.9803606097896894
DTLZ2,3,IVFNSGAII,NSGAII,Final_IGD,0.10943205840885639,0.37555555555555553,negligible,30,0.06913979310062104,0.06999864965719016,0.27083769137429636
DTLZ2,3,IVFNSGAII,NSGAII,Best_IGD,0.761065473780036,0.48,negligible,30,0.0652379534942349,0.0655270823773597,0.8347169712426201
