Algoritmo,Problema,M,is_engineering,n_rows,n_unique_runs,run_min,run_max,expected_window,status
NSGAIII,DTLZ7,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ7,M3,False,60,60,1,60,1-60,ok
NSGAIII,MaF1,M2,False,60,60,1,60,1-60,ok
NSGAIII,MaF1,M3,False,60,60,1,60,1-60,ok
NSGAIII,MaF2,M2,False,60,60,1,60,1-60,ok
NSGAIII,MaF2,M3,False,60,60,1,60,1-60,ok
NSGAIII,MaF3,M2,False,60,60,1,60,1-60,ok
NSGAIII,MaF3,M3,False,60,60,1,60,1-60,ok
NSGAIII,MaF4,M2,False,60,60,1,60,1-60,ok
NSGAIII,MaF4,M3,False,60,60,1,60,1-60,ok
NSGAIII,MaF5,M2,False,60,60,1,60,1-60,ok
NSGAIII,MaF5,M3,False,60,60,1,60,1-60,ok
NSGAIII,MaF6,M2,False,60,60,1,60,1-60,ok
NSGAIII,MaF6,M3,False,60,60,1,60,1-60,ok
NSGAIII,MaF7,M2,False,60,60,1,60,1-60,ok
NSGAIII,MaF7,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG1,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG1,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG2,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG2,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG3,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG3,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG4,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG4,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG5,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG5,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG6,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG6,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG7,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG7,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG8,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG8,M3,False,60,60,1,60,1-60,ok
NSGAIII,WFG9,M2,False,60,60,1,60,1-60,ok
NSGAIII,WFG9,M3,False,60,60,1,60,1-60,ok
NSGAIII,ZDT1,M2,False,60,60,1,60,1-60,ok
NSGAIII,ZDT2,M2,False,60,60,1,60,1-60,ok
NSGAIII,ZDT3,M2,False,60,60,1,60,1-60,ok
NSGAIII,ZDT4,M2,False,60,60,1,60,1-60,ok
NSGAIII,ZDT6,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ1,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ1,M3,False,60,60,1,60,1-60,ok
SPEA2,DTLZ2,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ2,M3,False,60,60,1,60,1-60,ok
SPEA2,DTLZ3,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ3,M3,False,60,60,1,60,1-60,ok
SPEA2,DTLZ4,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ4,M3,False,60,60,1,60,1-60,ok
SPEA2,DTLZ5,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ5,M3,False,60,60,1,60,1-60,ok
SPEA2,DTLZ6,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ6,M3,False,60,60,1,60,1-60,ok
SPEA2,DTLZ7,M2,False,60,60,1,60,1-60,ok
SPEA2,DTLZ7,M3,False,60,60,1,60,1-60,ok
SPEA2,MaF1,M2,False,60,60,1,60,1-60,ok
SPEA2,MaF1,M3,False,60,60,1,60,1-60,ok
SPEA2,MaF2,M2,False,60,60,1,60,1-60,ok
SPEA2,MaF2,M3,False,60,60,1,60,1-60,ok
SPEA2,MaF3,M2,False,60,60,1,60,1-60,ok
SPEA2,MaF3,M3,False,60,60,1,60,1-60,ok
SPEA2,MaF4,M2,False,60,60,1,60,1-60,ok
SPEA2,MaF4,M3,False,60,60,1,60,1-60,ok
SPEA2,MaF5,M2,False,60,60,1,60,1-60,ok
SPEA2,MaF5,M3,False,60,60,1,60,1-60,ok
SPEA2,MaF6,M2,False,60,60,1,60,1-60,ok
SPEA2,MaF6,M3,False,60,60,1,60,1-60,ok
SPEA2,MaF7,M2,False,60,60,1,60,1-60,ok
SPEA2,MaF7,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG1,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG1,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG2,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG2,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG3,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG3,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG4,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG4,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG5,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG5,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG6,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG6,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG7,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG7,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG8,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG8,M3,False,60,60,1,60,1-60,ok
SPEA2,WFG9,M2,False,60,60,1,60,1-60,ok
SPEA2,WFG9,M3,False,60,60,1,60,1-60,ok
SPEA2,ZDT1,M2,False,60,60,1,60,1-60,ok
