algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ4,DTLZ,3,12,4014,0.06597465523384151,0.5334998471550365,2.7500790000000004
IVFNSGAII,DTLZ4,DTLZ,3,12,4015,0.9459249261410931,0.09090909046254358,2.1884690000000027
IVFNSGAII,DTLZ4,DTLZ,3,12,4016,0.07294633018286377,0.5368347537145275,2.2976939999999986
IVFNSGAII,DTLZ4,DTLZ,3,12,4017,0.06790415490695695,0.5375848603001255,1.9258280000000023
IVFNSGAII,DTLZ4,DTLZ,3,12,4018,0.07121871309760967,0.5302644528347014,2.009808
IVFNSGAII,DTLZ4,DTLZ,3,12,4019,0.06517841651100893,0.5403689440139346,1.908954999999999
IVFNSGAII,DTLZ4,DTLZ,3,12,4020,0.0668704755605125,0.5335366447922161,2.130828999999996
IVFNSGAII,DTLZ4,DTLZ,3,12,4021,0.06696082260914561,0.5317336376650748,2.078667999999999
IVFNSGAII,DTLZ4,DTLZ,3,12,4022,0.06803327971128144,0.5342534709718538,1.786999000000001
IVFNSGAII,DTLZ4,DTLZ,3,12,4023,0.0662450083325669,0.5315424007375247,1.4770209999999995
IVFNSGAII,DTLZ4,DTLZ,3,12,4024,0.06593921733877202,0.5328074716881808,2.050478
IVFNSGAII,DTLZ4,DTLZ,3,12,4025,0.06758669144062132,0.5396349182183665,2.167137999999997
IVFNSGAII,DTLZ4,DTLZ,3,12,4026,0.06768518187412752,0.5286865468903937,1.5915919999999988
IVFNSGAII,DTLZ4,DTLZ,3,12,4027,0.06812648308369246,0.5357516586978994,1.9248719999999993
IVFNSGAII,DTLZ4,DTLZ,3,12,4028,0.0670215945649875,0.5381621043719675,2.0471970000000006
IVFNSGAII,DTLZ4,DTLZ,3,12,4029,0.07171415706287103,0.535984463980665,1.9860640000000005
IVFNSGAII,DTLZ4,DTLZ,3,12,4030,0.06962243768972036,0.5229050136404368,2.4151640000000003
IVFNSGAII,DTLZ5,DTLZ,2,11,4001,0.005025978457857232,0.3464959748922441,2.2128000000000023
IVFNSGAII,DTLZ5,DTLZ,2,11,4002,0.00505842829885321,0.3465158171518191,2.9818200000000017
IVFNSGAII,DTLZ5,DTLZ,2,11,4003,0.004842031297794862,0.3466794194382332,2.085013000000001
IVFNSGAII,DTLZ5,DTLZ,2,11,4004,0.00503039910778448,0.34657763874780345,2.2081580000000036
IVFNSGAII,DTLZ5,DTLZ,2,11,4005,0.004966866422133781,0.346783991466374,2.1836139999999995
IVFNSGAII,DTLZ5,DTLZ,2,11,4006,0.005187507495966718,0.34631510168276786,2.420231
IVFNSGAII,DTLZ5,DTLZ,2,11,4007,0.005417007210629812,0.3463032674403368,2.5132410000000025
IVFNSGAII,DTLZ5,DTLZ,2,11,4008,0.005247872432107188,0.3461399339264661,2.1008019999999994
IVFNSGAII,DTLZ5,DTLZ,2,11,4009,0.005296848311589348,0.3465537735333523,2.1246059999999996
IVFNSGAII,DTLZ5,DTLZ,2,11,4010,0.005234009376658226,0.3464705621194163,2.408131000000003
