Grupo,Problema,Algoritmo,mean,std,min,max
WFG,WFG2_M2,NSGAII,0.012896128447786759,0.0003719454350944297,0.01219740706801582,0.013828867853359086
WFG,WFG2_M2,NSGAIII,0.013955890708375416,0.0004947930578102428,0.012996034755556173,0.015053135010079528
WFG,WFG2_M2,SPEA2,0.011082340902873898,0.00019373870518402963,0.010718399699435244,0.01173542720910835
WFG,WFG2_M2,SPEA2SDE,0.013741281138901357,0.0009175214613017751,0.012241419469511067,0.01683588253363429
WFG,WFG2_M3,IVFSPEA2,0.17885465261701183,0.005873898046356672,0.1697407996181435,0.19697138772941938
WFG,WFG2_M3,MFOSPEA2,0.1684650925597942,0.004624816096802155,0.16053897483355306,0.18056409820055913
WFG,WFG2_M3,MOEAD,0.23104733270409786,0.018617030986551725,0.19398922598835852,0.24898540243545061
WFG,WFG2_M3,NSGAII,0.22265632273453234,0.013607579629556332,0.192258763799362,0.26549156385242734
WFG,WFG2_M3,NSGAIII,0.16468671381580396,0.001204914303145731,0.16206507257171618,0.1676022875579476
WFG,WFG2_M3,SPEA2,0.17229221473816156,0.004621707567438684,0.16140328057334632,0.18693838644947158
WFG,WFG2_M3,SPEA2SDE,0.20630473337422148,0.009981649149165182,0.18252251279612422,0.22711335276322608
WFG,WFG3_M2,IVFSPEA2,0.01202099992586904,0.00020790579693903417,0.011686625227054388,0.012640102457540728
WFG,WFG3_M2,MFOSPEA2,0.012018360202392851,0.0002087496213486983,0.011679241657111988,0.01273134042867159
WFG,WFG3_M2,MOEAD,0.01383743153394337,0.0002438301376467557,0.013423666064676305,0.014486880723765722
WFG,WFG3_M2,NSGAII,0.014495349508602255,0.0004707536186881675,0.013626872651211545,0.015660374219299722
WFG,WFG3_M2,NSGAIII,0.011361907278407891,7.371863726093734e-05,0.011293264742607114,0.011666800218461974
WFG,WFG3_M2,SPEA2,0.012084636050712695,0.0002710545894777168,0.011638041021654577,0.013106382633984521
WFG,WFG3_M2,SPEA2SDE,0.013186818392690649,0.0003053477561187447,0.012472998948889955,0.014000443057250834
WFG,WFG3_M3,IVFSPEA2,0.09083879646093525,0.007107976011299774,0.07318676584549477,0.10634412695499698
WFG,WFG3_M3,MFOSPEA2,0.10472219460317893,0.008333919234012076,0.0760878557126935,0.13133234470751953
WFG,WFG3_M3,MOEAD,0.157554853918427,0.0025243995381803762,0.1543011579782464,0.1751124366619608
WFG,WFG3_M3,NSGAII,0.09353102339415982,0.01622152387426926,0.06994909984465482,0.14398897250193401
WFG,WFG3_M3,NSGAIII,0.1056942549032702,0.01214998137234167,0.0854721535310258,0.1372682962800735
WFG,WFG3_M3,SPEA2,0.09702881700892635,0.007578339556280023,0.08333659912168646,0.11943281385402224
WFG,WFG3_M3,SPEA2SDE,0.06581233150404843,0.006337861551453608,0.055728634637401867,0.08328968449994209
